#,NUMERO,STATUS,ED,DESCRICAO,,,SETOR DO RESPONSÁVEL,CAMPUS DA CARGA,VALOR AQUISIÇÃO,VALOR DEPRECIADO,NUMERO NOTA FISCAL,NÚMERO DE SÉRIE,DATA DA ENTRADA,DATA DA CARGA,FORNECEDOR,SALA,ESTADO DE CONSERVAÇÃO
1,7,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEGEM,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 31 - SEGEM - SEÇÃO DE GERENCIAMENTO DO ENSINO MEDIO (MCP - CAMPUS MACAPÁ -BLOCO B),Bom
2,9,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Irreversível
3,14,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Irreversível
4,18,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Irreversível
5,19,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,COTI,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,SALA 05 - COTI - COORDENAÇÃO DA TECNOLOGIA DA INFORMAÇÃO (MCP - CAMPUS MACAPÁ - BLOCO A),Bom
6,21,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Bom
7,36,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Irreversível
8,40,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMÓRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RÍGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CÉLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,957,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Irreversível
9,43,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMóRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RíGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CéLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,956,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Irreversível
10,44,Ativo,35,"NOTEBOOK DELL, MODELO: LATITUDE E5410, PROCESSADOR INTEL CORE I5-540M DUAL CORE, 2.53 GHZ, MEMóRIA DDR3-533 1333MHZ DE 4GB 2 PENTES, DISCO RíGIDO DE 250GB, 7200RPM COM SENSOR DE QUEDA LIVRE, LEITOR E GRAVADOR DE DVD-RW, BATERIA PRIMÁRIA DE 6 CéLULAS, WIRELESS, BLUETOOTH E SEUS ACESSÓRIOS, SISTEMA OPERACIONAL: WINDOWS 7 PROFESSIONAL 32BITS, DUAL CORE, 2.53",,,SEBEM,MCP,3265.00,326.51,956,,09/05/2017,09/05/2017,LTH RH INFORMATICA COMERCIO REPRESENTACOES LTDA,DEPÓSITO DE BENS INSERVÍVEIS - SEBEM (MCP - CAMPUS MACAPÁ - UNIDADE MODULAR),Irreversível
